Date,Price,Open,High,Low,Vol.,Change %
8/9/2024,1527.596826,838.01,"1,346.62","1,245.05",698.64K,1.26%
8/12/2024,1531.00381,840.65,"1,351.85","1,252.04",699.34K,0.07%
8/13/2024,1501.375025,845.11,"1,361.12","1,252.84",531.08K,-0.66%
8/14/2024,1485.067922,847.61,"1,370.35","1,253.89",564.07K,-1.08%
8/15/2024,1482.063629,844.19,"1,374.03","1,245.85",673.76K,0.95%
8/16/2024,1460.083498,849.96,"1,365.01","1,248.65",665.48K,0.38%
8/19/2024,1453.529428,854.29,"1,357.41","1,262.33",418.23K,-0.23%
8/20/2024,1467.219524,848.08,"1,372.33","1,271.11",557.89K,0.75%
8/21/2024,1468.105303,850.15,"1,379.70","1,271.97",816.99K,-0.79%
8/22/2024,1439.632411,847.19,"1,370.50","1,268.64",584.39K,-4.50%
8/23/2024,1433.265163,851.21,"1,374.85","1,263.45",583.96K,0.15%
8/26/2024,1446.479227,849.99,"1,374.85","1,255.83",566.36K,0.06%
8/27/2024,1447.889065,860.35,"1,329.43","1,253.45",496.73K,-0.67%
8/28/2024,1466.624372,870.92,"1,307.56","1,270.81",504.69K,1.44%
8/29/2024,1478.697367,873.62,"1,310.16","1,277.16",557.43K,-0.51%
8/30/2024,1458.00227,872.38,"1,316.26","1,280.05",528.48K,1.55%
9/4/2024,1475.029059,878.79,"1,313.20","1,249.17",655.24K,0.23%
9/5/2024,1472.287815,882.13,"1,329.62","1,270.80",541.91K,0.72%
9/6/2024,1474.320142,882.4,"1,336.14","1,274.99",607.22K,0.90%
9/9/2024,1441.280933,898.25,"1,338.02","1,275.35",587.23K,0.89%
9/10/2024,1417.733538,896.02,"1,348.36","1,277.40",591.09K,0.85%
9/11/2024,1398.164781,903.85,"1,353.66","1,243.17",573.63K,-0.19%
9/12/2024,1402.363101,891.61,"1,344.49","1,234.60",572.55K,-0.13%
9/13/2024,1447.239995,883.68,"1,345.59","1,228.54",473.81K,-1.44%
9/16/2024,1495.638995,895.29,"1,350.43","1,248.78",589.89K,1.78%
9/17/2024,1505.817091,888.82,"1,350.69","1,243.87",670.87K,-0.57%
9/18/2024,1519.654984,891.89,"1,349.13","1,228.51",584.57K,-1.18%
9/19/2024,1513.809689,896.61,"1,347.70","1,240.77",465.66K,0.29%
9/20/2024,1512.37296,897.43,"1,353.12","1,230.37",603.29K,-1.27%
9/23/2024,1475.299517,897.47,"1,356.45","1,202.07",733.45K,-0.03%
9/24/2024,1476.651913,896.08,"1,365.92","1,199.71",560.89K,1.21%
9/25/2024,1478.654247,904.5,"1,350.48","1,204.68",688.12K,-1.09%
9/26/2024,1495.649243,905.9,"1,350.71","1,196.64",561.69K,-1.62%
9/27/2024,1447.330827,908.97,"1,361.09","1,201.45",738.58K,-3.34%
9/30/2024,1463.668357,910.53,"1,356.97","1,159.12",669.55K,-1.32%
10/1/2024,1531.00381,910.78,"1,354.38","1,166.44",694.93K,1.40%
10/2/2024,1501.375025,911.2,"1,341.81","1,142.79",592.48K,-0.12%
10/3/2024,1485.067922,916.63,"1,340.90","1,126.07",440.78K,0.15%
10/4/2024,1482.063629,904.34,"1,348.89","1,099.44",478.69K,0.10%
10/7/2024,1460.083498,910.13,"1,344.06","1,079.86",526.96K,-3.22%
10/8/2024,1453.529428,914.09,"1,347.49","1,069.74",588.39K,0.95%
10/9/2024,1467.219524,913.77,"1,354.63","1,078.14",560.59K,-1.31%
10/10/2024,1468.105303,918.11,"1,362.82","1,072.57",510.22K,1.32%
10/11/2024,1439.632411,913.62,"1,367.64","1,022.38",534.07K,0.78%
10/14/2024,1433.265163,922.08,"1,373.18","1,012.94",442.82K,0.56%
10/15/2024,1446.479227,919.48,"1,394.64",998.64,612.00K,0.62%
10/16/2024,1447.889065,930.78,"1,400.78","1,002.89",556.46K,0.07%
10/17/2024,1466.624372,926.76,"1,400.67","1,025.04",411.79K,0.27%
10/18/2024,1478.697367,931.89,"1,398.67","1,050.99",641.48K,-1.15%
10/21/2024,1458.00227,945.28,"1,399.03","1,033.59",497.42K,-1.73%
10/22/2024,1475.029059,944.03,"1,402.63","1,051.58",514.84K,-1.63%
10/23/2024,1472.287815,945.01,"1,399.66","1,052.29",400.66K,-1.41%
10/24/2024,1474.320142,941,"1,401.76","1,048.21",398.33K,1.86%
10/25/2024,1441.280933,947.16,"1,398.45","1,013.69",742.10K,-1.31%
10/28/2024,1417.733538,938.06,"1,393.70",977.41,654.95K,1.13%
10/29/2024,1398.164781,953.45,"1,395.72",962.45,751.18K,-0.38%
10/30/2024,1402.363101,967.52,"1,393.03",984.71,448.28K,-4.19%
10/31/2024,1447.239995,950.8,"1,423.02",990.48,647.72K,0.49%
11/1/2024,1495.638995,942.82,"1,440.64","1,026.53",654.70K,-1.72%
11/4/2024,1505.817091,916.49,"1,447.62","1,005.00",662.04K,-1.36%
11/5/2024,1519.654984,925.41,"1,451.81","1,027.39",613.98K,1.12%
11/6/2024,1513.809689,926.09,"1,452.46","1,018.64",578.23K,3.44%
11/7/2024,1512.37296,936.73,"1,463.63","1,010.65",442.89K,0.12%
11/8/2024,1475.299517,935.41,"1,451.98",974.61,753.11K,1.20%
11/11/2024,1476.651913,940.32,"1,459.93",969.61,646.85K,-0.86%
11/12/2024,1478.654247,939.73,"1,470.49",956.97,660.72K,3.07%
11/13/2024,1495.649243,942.15,"1,474.20",977.93,583.06K,0.04%
11/14/2024,1447.330827,962.68,"1,470.19",935.78,698.76K,-1.10%
11/15/2024,1463.668357,954.46,"1,472.89",947.24,736.49K,-0.15%
11/18/2024,1449.691042,953.97,"1,474.98",923.53,666.06K,0.88%
